"item_identifier","committee_member"
"thesis_072","Priebe, Carey E.|Athreya, Avanti|Naiman, Daniel Q."
"thesis_073","Bottomley, Paul A.|Zhou, Jinyuan|Tran, Trac Duy|Prince, Jerry L."
"thesis_074","Vidal, Rene|Kobilarov, Marin"
"thesis_075","Smith, Scott F.|Christensen, Henrik"
"thesis_076","Boctor, Emad M.|Hager, Gregory D.|Kazanzides, Peter"
"thesis_077","Konstantopoulos, Konstantinos|Cui, Honggang|Li, Rong|Sun, Sean X."
"thesis_078","Pandian, Anand|Schoenberger, Erica|Boland, John J."
"thesis_079","Boctor, Emad M.|Shiffman, Bernard|Whitcomb, Louis L."
"thesis_080","Siewerdsen, Jeffrey H.|Taylor, Russell H.|Wolinsky, Jean-Paul|Kazanzides, Peter"
"thesis_081","Kazanzides, Peter|Leonard, Simon"
"thesis_082","Vidal, Rene|Khudanpur, Sanjeev P.|Tran, Trac Duy|Yuille, Alan L."
"thesis_083","Szalay, Alexander S.|Priebe, Carey E.|Basu, Amitabh|Li, Xin"
"thesis_084","Taylor, Russell H.|Whitcomb, Louis L."
"thesis_085","Meneveau, Charles V.|Zaki, Tamer A."
"thesis_086","Basu, Amitabh|Curtis, Frank E|Robinson, Daniel P"
"thesis_087","Arora, Raman|Yarowsky, David|Hovy, Dirk"
"thesis_087","Arora, Raman|Yarowsky, David|Hovy, Dirk"
"thesis_088","Etienne-Cummings, Ralph|Sarma, Sridevi|Pouliquen, Philippe"
"thesis_089","Scharfstein, Daniel|Tchetgen Tchetgen, Eric|Ogburn, Elizabeth"
