item_identifier,2013,2014,2015,2016,2017,2018,2019,2020,2021
thesis_061,,,,,Shape Theoretic and Machine Learning Based Methods for Automatic Clustering and Classification of Cardiomyocytes Based on Action Potential Morphology,,,,
thesis_062,,,,,,Dissecting BCR-ABL Variant Signaling Pathways Using Novel Interactome Identification Strategies,,,
thesis_063,,,,,,,Overcoming the Protective Effect of the Bone Marrow Microenvironment by Dual FLT3 and BET Inhibition in FLT3-ITD Acute Myeloid Leukemia,,
thesis_064,,,,,,,Discovery and Characterization of Skeletal Muscle-Derived Myokines,,
thesis_065,,,,,,,Defining Substrate Requirements for Cleavage of Prelamin A by the Zinc Metalloprotease ZMPSTE24,,
thesis_066,,,,,,,The cerebellar vermis robustly modulates neural activity in the inferior colliculus,,
thesis_067,,,,,,,,A functional cortical network for sensorimotor sequence generation,
thesis_068,,,,,,,,How to Compartmentalize: Genome Compartmentalization After Cell Division and a Novel Role for Lamin C,
thesis_069,,,,,,,,,Non-spatial Information Encoding in Hippocampal CA1
thesis_070,,,,,,Nurse Case Management to Improve the Hepatitis C Care Continuum in HIV Co-Infection: A Randomized Controlled Trial,,,
thesis_071,,,,,,,,Adoption of mHealth among Latinos with Cardiometabolic Risk Factors,
thesis_072,,Foundations of Adjacency Spectral Embedding,,,,,,,
thesis_073,,Advancing Magnetic Resonance Spectroscopy and Endoscopy with Prior Knowledge,,,,,,,
thesis_074,,Modeling Complex Biological and Mechanical Movements: Applications to Animal Locomotion and Gesture Classification in Robotic Surgery,,,,,,,
thesis_075,,,Methods for Improved Human Interaction with Robotic Systems,,,,,,
thesis_076,,,Probabilistic Feature-Based Registration for Interventional Medicine,,,,,,
thesis_077,,,Physical Mechanisms and High-Throughput Imaging of Tumor Cell Migration in Confining Microenvironments,,,,,,
thesis_078,,,Modernity's garbage: Struggles over municipal solid waste in urban India,,,,,,
thesis_079,,,,Design and Calibration of Robotic Systems with Applications in Cooperative Repair and Ultrasound Calibration,,,,,
thesis_080,,,,,Imaging and registration for surgical guidance: systems and algorithms for intraoperative C-arm 2D and 3D imaging,,,,
thesis_081,,,,,Intent-Recognition-Based Traded Control for Telerobotic Assembly over High-Latency Telemetry,,,,
thesis_082,,,,,Learning Discriminative Feature Representations for Action Recognition and Segmentation,,,,
thesis_083,,,,,Taming Big Data By Streaming,,,,
thesis_084,,,,,"A Scalable, High-Performance, Real-Time Control Architecture with Application to Semi-Autonomous Teleoperation",,,,
thesis_085,,,,,,Tackling viscoelastic turbulence,,,
thesis_086,,,,,,A Fast Reduced-Space Algorithmic Framework for Sparse Optimization,,,
thesis_087,,,,,,Learning Representations of Social Media Users,,,
thesis_088,,,,,,,Neuromorphic Models of the Amygdala with Applications to Spike Based Computing and Robotics,,
thesis_089,,,,,,,,,Causal Inference Methods For Bias Correction In Data Analyses
